projID,studyear,communty,recordTypeCD,colName,colDesc,colDataType,codeSetID
316,2024,11,00,recControlID,Unique record controller ID,int,
316,2024,11,00,HHControlID,FK to HH Controller record,int,
316,2024,11,00,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,00,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,00,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,00,recContComment,Record controller level comment (can be used at the top of a page for instance),ntext,
316,2024,11,376,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,376,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,376,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,376,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,300,HHControlID,FK to HH Controller record,int,
316,2024,11,300,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,300,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,300,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,376,recControlID,Unique record controller ID,int,
316,2024,11,376,HHControlID,FK to HH Controller record,int,
316,2024,11,24,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,24,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,24,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,24,otherIncomeYN,Did household receive non-employment income other than pfd or native corportation dividends YN?,int,3
316,2024,11,24,pfdOrNatCorpYN,Did household receive a permanent fund or native corportation dividend this study period YN?,int,3
316,2024,11,300,recControlID,Unique record controller ID,int,
316,2024,11,23,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,23,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,23,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,23,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,24,recControlID,Unique record controller ID,int,
316,2024,11,24,HHControlID,FK to HH Controller record,int,
316,2024,11,201,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,201,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,201,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,201,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,23,recControlID,Unique record controller ID,int,
316,2024,11,23,HHControlID,FK to HH Controller record,int,
316,2024,11,17,subRecordCD,Logical subdivision of recordTypeCD,smallint,
316,2024,11,17,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,17,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,17,usuallyq,Generic filter question YN hh usually participates in record type XXXX activities,int,3
316,2024,11,201,recControlID,Unique record controller ID,int,
316,2024,11,201,HHControlID,FK to HH Controller record,int,
316,2024,11,15,subRecordDesc,Description of subRecordCD,varchar(50),
316,2024,11,15,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,15,usuallyq,Generic filter question YN hh usually participates in record type XXXX activities,int,3
316,2024,11,17,recControlID,Unique record controller ID,int,
316,2024,11,17,HHControlID,FK to HH Controller record,int,
316,2024,11,17,recordTypeCD,Record Type Code,varchar(6),
316,2024,11,14,filterq,Generic filter question YN hh participated in record type XXXX activities,int,3
316,2024,11,14,usuallyq,Generic filter question YN hh usually participates in record type XXXX activities,int,3
316,2024,11,15,recControlID,Unique record controller ID,int,
316,2024,11,15,HHControlID,FK to HH Controller record,int,
316,2024,11,15,recordTypeCD,Record Type Code,varchar(6),
