communty,commname
1,Adak
2,Akhiok
3,Akiachak
4,Akiak
5,Akutan
6,Alakanuk
7,Alatna
8,Aleknagik
9,Alexander Creek
10,Allakaket/Alatna
11,Ambler
12,Anaktuvuk Pass
13,Anchor Point
14,Anchorage
15,Anderson
16,Angoon
17,Aniak
18,Anvik
19,Arctic Village
20,Atka
21,Atqasuk
22,Atmautluak
23,Balance of Aleutian Island Census Area
24,Balance of Angoon Census Sub-Area
25,Balance of Aniak Census Sub-Area
26,Balance of Barrow-Point Hope Census Sub-Area
27,Balance of Bristol Bay Census Area
28,Balance of Copper River Census Sub-Area
29,Balance of Valdez-Cordova/Chugach Census Sub-Area
30,Balance of Dillingham Census Area
31,Balance of Eielson Reservation Census Sub-Area
32,Balance of Fairbanks North Star Census Sub-Area
33,Balance of Haines Census Area
34,Balance of Hoonah-Yakutat Census Sub-Area
35,Balance of Kenai-Cook Inlet Census Sub-Area
36,Balance of Ketchikan Census Area
37,Balance of Kobuk Census Area
38,Balance of Kodiak Island Census Sub-Area
39,Balance of Koyukuk-Mid Yukon Census Sub-Area
40,Balance of Lower Kuskokwim Census Sub-Area
41,Balance of Matanuska-Susitna Census area
42,Balance of McGrath-Holy Cross Census Sub-Area
43,Balance of Nome Census area
44,Balance of Outer Ketchikan Census Sub-Area
45,Balance of Petersburg Census Sub-Area
46,Balance of Prince of Wales Census Sub-Area
47,Balance of Prince William Sound Census Sub-Area
48,Balance of Prudhoe Bay-Kaktovik Census Sub-Area
49,Balance of Seward Census Sub-Area
50,Balance of Skagway Census Sub-Area
51,Balance of Southeast Fairbanks Census area
52,Balance of Wade Hampton Census Sub-Area
53,Balance of Wrangell Census Sub-Area
54,Balance of Yukon Flats Census Sub-Area
55,Utqiagvik (Barrow)
56,Beaver
57,Beluga
58,Bessie No. 5
59,Bethel
60,Bettles/Evansville
61,Big Delta
62,Big Horn Census Designated Place
63,Big Lake
64,Birch Creek
66,Bodenburg Butte Census Designated Place
67,Boswell Bay
68,Boundary
69,Brevig Mission
70,Buckland
71,Cache Creek
72,Campion Station
73,Candle
74,Cantwell
75,Cape Newenham Census Designated Place
76,Central
77,Chalkyitsik
78,Chase
79,Chatanika
80,Chefornak
81,Chena Hot Springs
82,Chenega Bay
83,Chevak
84,Chickaloon
85,Chicken
86,Chignik Bay
87,Chignik Lagoon
88,Chignik Lake
89,Chisana
90,Chistochina
91,Chitina
92,Chuathbaluk
93,Circle
94,Circle Hot Springs
95,Clam Gulch
96,Clarks Point
97,Clear
98,Clear Air Force Base
99,Cohoe
100,Cold Bay
101,Coldfoot
102,Cooper Landing
103,Copper Center
104,Cordova
105,Council
106,Craig
107,Crooked Creek
108,College
109,Deadhorse
110,Deering
111,Delta Junction
112,Denali Highway
113,Dillingham
114,Diomede
115,Dot Lake
116,Dunbar/Goldstream
117,Dutch Harbor
118,Eagle
119,East Glenn Highway
120,Edna Bay
121,Eek
122,Egegik
123,Eielson Air Force Base
124,Ekwok
125,Elfin Cove
126,Elim
127,Elmendorf Air Force Base
128,Emmonak
129,Nanwalek
130,Ester
131,Fairbanks
132,False Pass
133,Flat
134,Fort Yukon
135,Fox
136,Fritz Creek Census Designated Place
137,Fort Greely
138,Fort Richardson
139,Fort Wainwright
140,Gakona
141,Galena
142,Gambell
143,Georgetown
144,Gweek
145,Glennallen
146,Golovin
147,Goodnews Bay
148,Grayling
149,Gulkana
150,Gustavus
151,Haines
152,Halibut Cove
153,Harding Lake Census Designated Place
154,Healy
155,Healy Lake
156,Holikachuk
157,Hollis
158,Holy Cross
159,Homer
160,Hoonah
161,Hooper Bay
162,Hope
163,Houston
164,Hughes
165,Huslia
166,Hydaburg
167,Hyder
168,Igiugig
169,Igloo
170,Iliamna
171,Indian Mountain Census Designated Place
172,Ivanof Bay
173,Jakolof Bay Census Designated Place
174,Juneau
175,Kachemak City
176,Kake
177,Kaktovik
