resource,properResName,scientificName
0,All resources,  
100000000, Fish,  
100000001,  Fish [CF retention],  
100000002,  Fish [rod and reel],  
100000003,  Fish [other gear],  
110000000,  Salmon,Oncorhynchus spp. 
110000001,   Salmon [CF retention],Oncorhynchus spp. 
110000002,   Salmon [rod and reel],Oncorhynchus spp. 
110000003,   Salmon [other gear],Oncorhynchus spp. 
111000000,   Chum salmon,Oncorhynchus keta 
111000001,    Chum salmon [CF retention],Oncorhynchus keta 
111000002,    Chum salmon [rod and reel],Oncorhynchus keta 
111000003,    Chum salmon [other gear],Oncorhynchus keta 
111010000,    Summer chum salmon,Oncorhynchus keta 
111010001,     Summer chum salmon [CF retention],Oncorhynchus keta 
111010002,     Summer chum salmon [rod and reel],Oncorhynchus keta 
111010003,     Summer chum salmon [other gear],Oncorhynchus keta 
111020000,    Fall chum salmon,Oncorhynchus keta 
111020001,     Fall chum salmon [CF retention],Oncorhynchus keta 
111020002,     Fall chum salmon [rod and reel],Oncorhynchus keta 
111020003,     Fall chum salmon [other gear],Oncorhynchus keta 
111090000,"    Chum salmon, run unknown",Oncorhynchus keta 
111090001,"     Chum salmon, run unknown [CF retention]",Oncorhynchus keta 
111090002,"     Chum salmon, run unknown [rod and reel]",Oncorhynchus keta 
111090003,"     Chum salmon, run unknown [other gear]",Oncorhynchus keta 
112000000,   Coho salmon,Oncorhynchus kisutch 
112000001,    Coho salmon [CF retention],Oncorhynchus kisutch 
112000002,    Coho salmon [rod and reel],Oncorhynchus kisutch 
112000003,    Coho salmon [other gear],Oncorhynchus kisutch 
112020000,    Coho salmon (fingerling),Oncorhynchus kisutch 
112020001,     Coho salmon (fingerling) [CF retention],Oncorhynchus kisutch 
112020002,     Coho salmon (fingerling) [rod and reel],Oncorhynchus kisutch 
112020003,     Coho salmon (fingerling) [other gear],Oncorhynchus kisutch 
113000000,   Chinook salmon,Oncorhynchus tshawytscha 
113000001,    Chinook salmon [CF retention],Oncorhynchus tshawytscha 
113000002,    Chinook salmon [rod and reel],Oncorhynchus tshawytscha 
113000003,    Chinook salmon [other gear],Oncorhynchus tshawytscha 
114000000,   Pink salmon,Oncorhynchus gorbuscha 
114000001,    Pink salmon [CF retention],Oncorhynchus gorbuscha 
114000002,    Pink salmon [rod and reel],Oncorhynchus gorbuscha 
114000003,    Pink salmon [other gear],Oncorhynchus gorbuscha 
115000000,   Sockeye salmon,Oncorhynchus nerka 
115000001,    Sockeye salmon [CF retention],Oncorhynchus nerka 
115000002,    Sockeye salmon [rod and reel],Oncorhynchus nerka 
115000003,    Sockeye salmon [other gear],Oncorhynchus nerka 
115002000,    Sockeye salmon (early run),Oncorhynchus nerka 
115004000,    Sockeye salmon (late run),Oncorhynchus nerka 
116000000,   Landlocked salmon,Oncorhynchus spp. 
116000001,    Landlocked salmon [CF retention],Oncorhynchus spp. 
116000002,    Landlocked salmon [rod and reel],Oncorhynchus spp. 
116000003,    Landlocked salmon [other gear],Oncorhynchus spp. 
117000000,   Spawnouts,Oncorhynchus spp. 
117000001,    Spawnouts [CF retention],Oncorhynchus spp. 
117000002,    Spawnouts [rod and reel],Oncorhynchus spp. 
117000003,    Spawnouts [other gear],Oncorhynchus spp. 
117010000,    Spawning chum salmon,Oncorhynchus keta 
117010001,     Spawning chum salmon [CF retention],Oncorhynchus keta 
117010002,     Spawning chum salmon [rod and reel],Oncorhynchus keta 
117010003,     Spawning chum salmon [other gear],Oncorhynchus keta 
117020000,    Spawning coho salmon,Oncorhynchus kisutch 
117020001,     Spawning coho salmon [CF retention],Oncorhynchus kisutch 
117020002,     Spawning coho salmon [rod and reel],Oncorhynchus kisutch 
117020003,     Spawning coho salmon [other gear],Oncorhynchus kisutch 
117040000,    Spawning pink salmon,Oncorhynchus gorbuscha 
117040001,     Spawning pink salmon [CF retention],Oncorhynchus gorbuscha 
117040002,     Spawning pink salmon [rod and reel],Oncorhynchus gorbuscha 
117040003,     Spawning pink salmon [other gear],Oncorhynchus gorbuscha 
117050000,    Spawning sockeye salmon,Oncorhynchus nerka 
117050001,     Spawning sockeye salmon [CF retention],Oncorhynchus nerka 
117050002,     Spawning sockeye salmon [rod and reel],Oncorhynchus nerka 
117050003,     Spawning sockeye salmon [other gear],Oncorhynchus nerka 
117090000,    Unspecified salmon spawnouts,Oncorhynchus spp. 
117090001,     Unspecified salmon spawnouts [CF retention],Oncorhynchus spp. 
117090002,     Unspecified salmon spawnouts [rod and reel],Oncorhynchus spp. 
117090003,     Unspecified salmon spawnouts [other gear],Oncorhynchus spp. 
118000000,   Salmon roe,Oncorhynchus spp. 
118000001,    Salmon roe [CF retention],Oncorhynchus spp. 
118000002,    Salmon roe [rod and reel],Oncorhynchus spp. 
118000003,    Salmon roe [other gear],Oncorhynchus spp. 
118001000,    Salmon roe - chum,Oncorhynchus keta 
118002000,    Salmon roe - coho,Oncorhynchus kisutch 
118003000,    Salmon roe - Chinook,Oncorhynchus tshawytscha 
118004000,    Salmon roe - pink,Oncorhynchus gorbuscha 
118005000,    Salmon roe - sockeye,Oncorhynchus nerka 
119000000,   Unspecified salmon,Oncorhynchus spp. 
119000001,    Unspecified salmon [CF retention],Oncorhynchus spp. 
119000002,    Unspecified salmon [rod and reel],Oncorhynchus spp. 
119000003,    Unspecified salmon [other gear],Oncorhynchus spp. 
120000000,  Nonsalmon fish,  
120000001,   Nonsalmon fish [CF retention],  
120000002,   Nonsalmon fish [rod and reel],  
120000003,   Nonsalmon fish [other gear],  
120200000,   Pacific herring,Clupea pallasii 
120200001,    Pacific herring [CF retention],Clupea pallasii 
120200002,    Pacific herring [rod and reel],Clupea pallasii 
120200003,    Pacific herring [other gear],Clupea pallasii 
120300000,   Pacific herring roe,Clupea pallasii 
120300001,    Pacific herring roe [CF retention],Clupea pallasii 
120300002,    Pacific herring roe [rod and reel],Clupea pallasii 
120300003,    Pacific herring roe [other gear],Clupea pallasii 
120302000,"    Pacific herring roe, unspecified type",Clupea pallasii 
120302001,"     Pacific herring roe, unspecified type [CF retention]",Clupea pallasii 
120302002,"     Pacific herring roe, unspecified type [rod and reel]",Clupea pallasii 
120302003,"     Pacific herring roe, unspecified type [other gear]",Clupea pallasii 
120304000,    Pacific herring sac roe,Clupea pallasii 
120304001,     Pacific herring sac roe [CF retention],Clupea pallasii 
120304002,     Pacific herring sac roe [rod and reel],Clupea pallasii 
120304003,     Pacific herring sac roe [other gear],Clupea pallasii 
120306000,    Pacific herring spawn on kelp,Clupea pallasii 
120306001,     Pacific herring spawn on kelp [CF retention],Clupea pallasii 
120306002,     Pacific herring spawn on kelp [rod and reel],Clupea pallasii 
120306003,     Pacific herring spawn on kelp [other gear],Clupea pallasii 
120308000,    Pacific herring roe on hair seaweed,Clupea pallasii 
120308001,     Pacific herring roe on hair seaweed [CF retention],Clupea pallasii 
120308002,     Pacific herring roe on hair seaweed [rod and reel],Clupea pallasii 
120308003,     Pacific herring roe on hair seaweed [other gear],Clupea pallasii 
120310000,    Pacific herring roe on hemlock branches,Clupea pallasii 
120310001,     Pacific herring roe on hemlock branches [CF retention],Clupea pallasii 
120310002,     Pacific herring roe on hemlock branches [rod and reel],Clupea pallasii 
120310003,     Pacific herring roe on hemlock branches [other gear],Clupea pallasii 
120400000,   Smelts,  
120400001,    Smelts [CF retention],  
120400002,    Smelts [rod and reel],  
120400003,    Smelts [other gear],  
120402000,    Capelin (grunion),Mallotus villosus 
120402001,     Capelin (grunion) [CF retention],Mallotus villosus 
120402002,     Capelin (grunion) [rod and reel],Mallotus villosus 
120402003,     Capelin (grunion) [other gear],Mallotus villosus 
120404000,"    Eulachon (hooligan, candlefish)",Thaleichthys pacificus 
120404001,"     Eulachon (hooligan, candlefish) [CF retention",Thaleichthys pacificus 
120404002,"     Eulachon (hooligan, candlefish) [rod and reel]",Thaleichthys pacificus 
120404003,"     Eulachon (hooligan, candlefish) [other gear]",Thaleichthys pacificus 
120406000,    Rainbow smelt,Osmerus mordax 
120406001,     Rainbow smelt [CF retention],Osmerus mordax 
120406002,     Rainbow smelt [rod and reel],Osmerus mordax 
120406003,     Rainbow smelt [other gear],Osmerus mordax 
120408000,    Surf smelt,Hypomesus pretiosus 
120408001,     Surf smelt [CF retention],Hypomesus pretiosus 
120408002,     Surf smelt [rod and reel],Hypomesus pretiosus 
120408003,     Surf smelt [other gear],Hypomesus pretiosus 
120410000,    Silver smelt,  
120410001,     Silver smelt [CF retention],  
120410002,     Silver smelt [rod and reel],  
