projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,person,answerQuestions,sex,relation,ethnic,birthyear,residpar,yrcomcat,procLLM,harvLLM,procFur,harvFur,procBirds,harvBirds,procMM,harvMM,procPlants,harvPlants,procSalm,harvSalm,procMI,harvMI,buildFishTrapsYN,buildDogSleds,sewSkinsCloth,cookWildFoods,handicraftsYN,shelterYN,procOtherFish,harvOtherFish
316,11,2024,1,0,1,01,0,default,1,1,2,1,1,1990,11,34,1,0,,,1,0,,,1,1,,,,,0,0,0,1,0,0,1,0
316,11,2024,1,0,1,01,0,default,3,0,1,7,1,2015,11,9,0,0,,,0,0,,,1,0,,,,,0,0,0,0,0,0,0,0
316,11,2024,1,0,1,01,0,default,4,0,1,7,1,2018,11,6,0,0,,,0,0,,,1,0,,,,,0,0,0,0,0,0,0,0
316,11,2024,5,0,1,01,0,default,1,1,2,1,1,1982,11,42,1,0,,,-9,0,0,0,1,1,0,0,,,0,0,1,1,1,0,1,1
316,11,2024,5,0,1,01,0,default,3,0,2,4,1,1954,312,60,1,0,,,-9,0,0,0,1,1,0,0,,,0,0,1,1,1,0,1,1
316,11,2024,5,0,1,01,0,default,4,0,2,8,1,2011,11,13,1,0,,,-9,0,0,0,1,1,0,0,,,0,0,1,1,1,0,1,1
316,11,2024,5,0,1,01,0,default,5,0,1,7,1,2023,11,1,0,0,,,-9,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
316,11,2024,13,0,1,01,0,default,1,1,1,1,0,1951,901,45,1,1,0,0,1,1,0,0,1,1,0,0,,,0,0,0,1,1,0,1,1
316,11,2024,13,0,1,01,0,default,2,1,2,2,1,1947,312,45,1,1,0,0,0,0,0,0,1,1,1,0,,,0,0,1,1,1,0,1,1
316,11,2024,42,0,1,01,0,default,1,1,1,1,1,1988,11,36,1,1,1,1,1,1,1,0,1,1,1,1,,,0,0,0,1,0,0,1,1
316,11,2024,42,0,1,01,0,default,3,0,1,38,1,1985,11,39,1,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,1,0,0,0,0
316,11,2024,3,0,1,01,0,default,1,1,2,1,1,2003,253,11,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0
316,11,2024,3,0,1,01,0,default,3,0,2,14,1,2011,11,13,0,0,,,0,0,0,0,1,1,1,1,,,0,0,0,0,0,1,1,1
316,11,2024,8,0,1,01,0,default,1,1,1,1,1,1965,11,59,1,0,,,,,0,0,1,1,0,0,,,0,0,0,1,0,0,0,0
316,11,2024,8,0,1,01,0,default,3,1,1,7,1,2006,11,18,1,0,,,,,0,0,1,1,0,0,,,0,0,0,1,1,0,1,1
316,11,2024,8,0,1,01,0,default,4,0,1,7,1,2016,11,8,1,0,,,,,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0
316,11,2024,11,0,1,01,0,default,1,1,1,1,1,1988,11,30,1,1,,,0,1,0,0,1,1,1,0,,,0,0,0,1,0,0,0,1
316,11,2024,11,0,1,01,0,default,2,0,2,2,1,1984,11,40,1,1,,,0,0,0,0,1,1,0,0,,,0,0,0,1,0,0,0,0
