projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,resource,displayGroup,resSafeCD1,resSafeCD2,resSafeCD3,resSafeDesc
316,11,2024,1,0,1,376,0,default,1,211000000,,,,,IN EARLY SPRING - (SHE WAS INTERRUPTED AND ASKED ME TO HURRY THROUGH THE REST BECAUSE OF A FUNERAL)
316,11,2024,5,0,1,376,0,default,1,211000000,,,,,CYSTS - MORE THAN USUAL.
316,11,2024,13,0,1,376,0,default,0,,,,,,
316,11,2024,42,0,1,376,0,default,0,,,,,,
316,11,2024,3,0,1,376,0,default,0,,,,,,
316,11,2024,8,0,1,376,0,default,0,,,,,,
316,11,2024,11,0,1,376,0,default,0,,,,,,
316,11,2024,14,0,1,376,0,default,0,,,,,,
316,11,2024,18,0,1,376,0,default,0,,,,,,
316,11,2024,19,0,1,376,0,default,0,,,,,,
316,11,2024,20,0,1,376,0,default,0,,,,,,
316,11,2024,21,0,1,376,0,default,0,,,,,,
316,11,2024,23,0,1,376,0,default,0,,,,,,
316,11,2024,25,0,1,376,0,default,0,,,,,,
316,11,2024,26,0,1,376,0,default,1,110000000,,,,,"TAPEWORMS, PUS"
316,11,2024,26,0,1,376,0,default,1,120000000,,,,,"TAPEWORMS, PUSSY"
316,11,2024,27,0,1,376,0,default,0,,,,,,
316,11,2024,43,0,1,376,0,default,1,211000000,,,,,"PUS, BLISTERS, NOT SEEN UNTIL AFTER CUTTING INTO THEM."
316,11,2024,33,0,1,376,0,default,0,,,,,,
316,11,2024,28,0,1,376,0,default,0,,,,,,
316,11,2024,34,0,1,376,0,default,0,,,,,,
316,11,2024,29,0,1,376,0,default,1,604000000,,,,,ROTTEN INSIDE- ANTS
316,11,2024,36,0,1,376,0,default,1,410400000,,,,,BIRD FLU
316,11,2024,36,0,1,376,0,default,1,410200000,,,,,BIRD FLU
316,11,2024,37,0,1,376,0,default,0,,,,,,
316,11,2024,47,0,1,376,0,default,0,,,,,,
316,11,2024,48,0,1,376,0,default,0,,,,,,
316,11,2024,30,0,1,376,0,default,1,211800000,,,,,INJURED MOOSE
316,11,2024,30,0,1,376,0,default,1,110000000,,,,,"BELLY UPS, DYING SOONER"
316,11,2024,30,0,1,376,0,default,1,223200000,,,,,MORE PREVALENT AND COMING CLOSER TO TOWN
316,11,2024,30,0,1,376,0,default,1,210800000,,,,,MORE PREVALENT AND COMING CLOSER TO TOWNS
316,11,2024,50,0,1,376,0,default,0,,,,,,
316,11,2024,51,0,1,376,0,default,0,,,,,,
316,11,2024,31,0,1,376,0,default,0,,,,,,
316,11,2024,52,0,1,376,0,default,0,,,,,,
316,11,2024,53,0,1,376,0,default,0,,,,,,
316,11,2024,55,0,1,376,0,default,1,211000000,,,,,PUSS
316,11,2024,55,0,1,376,0,default,1,125600000,,,,,PUSS
316,11,2024,56,0,1,376,0,default,0,,,,,,
316,11,2024,59,0,1,376,0,default,0,,,,,,
316,11,2024,60,0,1,376,0,default,0,,,,,,
316,11,2024,61,0,1,376,0,default,0,,,,,,
316,11,2024,63,0,1,376,0,default,0,,,,,,
316,11,2024,64,0,1,376,0,default,0,,,,,,
316,11,2024,66,0,1,376,0,default,0,,,,,,
316,11,2024,67,0,1,376,0,default,0,,,,,,
316,11,2024,68,0,1,376,0,default,0,,,,,,
316,11,2024,69,0,1,376,0,default,0,,,,,,
316,11,2024,70,0,1,376,0,default,0,,,,,,
316,11,2024,72,0,1,376,0,default,0,,,,,,
316,11,2024,73,0,1,376,0,default,1,601000000,,,,,BIGGER THAN PREVIOUS YEARS. [?]
316,11,2024,74,0,1,376,0,default,0,,,,,,
316,11,2024,75,0,1,376,0,default,1,601000000,,,,,OVERRIPE
316,11,2024,77,0,1,376,0,default,0,,,,,,
316,11,2024,32,0,1,376,0,default,0,,,,,,
