projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,person,jobnum,jtitle,SIC,SOC,employr,schedule,earnings,janWork,febWork,marWork,aprWork,mayWork,junWork,julWork,augWork,sepWork,octWork,novWork,decWork,CSISCatCodes,resource,role
316,11,2024,1,0,1,23,0,default,1,1,1,ADMIN ASSISTANT,120,12,MANIILAQ,4,68000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,3,0,1,23,0,default,0,1,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,5,0,1,23,0,default,1,1,1,HOUSEKEEPER,100,13,THE LODGE (STORE),2,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,5,0,1,23,0,default,1,3,1,STOCKER,100,20,THE LODGE (STORE),2,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,8,0,1,23,0,default,0,1,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,8,0,1,23,0,default,0,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,11,0,1,23,0,default,1,1,1,BEHAVIOURAL HEALTH AIDE,120,13,MANIILUG,1,62000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,11,0,1,23,0,default,1,2,1,MISSING,-9,-9,MISSING,-8,-9,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,11,0,1,23,0,default,1,3,1,MISSING,-9,-9,MISSING,-8,-9,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,13,0,1,23,0,default,1,1,1,FIRE CHIEF,30,1,NORTHWEST ARCTIC BOROUGH,4,9000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,13,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,14,0,1,23,0,default,1,1,1,BUILDING,60,16,NANA CONSTRUCTION,2,30000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,14,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,14,0,1,23,0,default,1,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,14,0,1,23,0,default,1,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,14,0,1,23,0,default,1,5,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,18,0,1,23,0,default,1,1,1,TEMP CLERK,30,12,CITY OF AMBLER,4,-8,0,1,1,1,1,1,0,0,0,0,0,0,-6,910100000,6
